16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored UpdateTime: ID=File deliver, timestamp=2024-12-23 16:58:59.354989
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:first/01, TASK_ID=first, USER_ID=Smart student, category=CheckCategoryEnum.runtime,
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:first/02, TASK_ID=first, USER_ID=Smart student, category=CheckCategoryEnum.runtime,
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Smart student:second/01', 'Smart student:second/02'] checks from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\second homework
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:second/01, TASK_ID=second, USER_ID=Smart student, category=CheckCategoryEnum.runtim
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:second/02, TASK_ID=second, USER_ID=Smart student, category=CheckCategoryEnum.runtim
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Beautiful student:first/01', 'Beautiful student:first/02'] checks from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\first homework
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Beautiful student:first/01, TASK_ID=first, USER_ID=Beautiful student, category=CheckCategoryEnum.
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Beautiful student:first/02, TASK_ID=first, USER_ID=Beautiful student, category=CheckCategoryEnum.
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Beautiful student:second/01', 'Beautiful student:second/02'] checks from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\second homework
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Beautiful student:second/01, TASK_ID=second, USER_ID=Beautiful student, category=CheckCategoryEnu
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Beautiful student:second/02, TASK_ID=second, USER_ID=Beautiful student, category=CheckCategoryEnu
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted ['The teacher:first/01', 'The teacher:first/02', 'The teacher:first/attendance', 'The teacher:first/deadline', 'The teacher:first/no_import', 'The teacher:first/solution_size'] checks from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\first homework
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/01, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.runtime, tim
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/02, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.runtime, tim
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/attendance, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.vali
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/deadline, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.valida
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/no_import, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.valid
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/solution_size, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.v
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted ['The teacher:second/01', 'The teacher:second/02'] checks from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\second homework
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:second/01, TASK_ID=second, USER_ID=The teacher, category=CheckCategoryEnum.runtime, t
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:second/02, TASK_ID=second, USER_ID=The teacher, category=CheckCategoryEnum.runtime, t
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted ['The teacher:first/01', 'The teacher:first/02', 'The teacher:first/attendance', 'The teacher:first/deadline', 'The teacher:first/no_import', 'The teacher:first/solution_size'] checks from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted The teacher:first solution from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\first homework
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=The teacher:first, TASK_ID=first, USER_ID=The teacher, timestamp=2024-12-23 16:58:40.621585
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted ['The teacher:second/01', 'The teacher:second/02'] checks from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted The teacher:second solution from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\second homework
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=The teacher:second, TASK_ID=second, USER_ID=The teacher, timestamp=2024-12-23 16:58:40.621585
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Beautiful student:second/01', 'Beautiful student:second/02'] checks from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted Beautiful student:second solution from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\second homework
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, timestamp=2024-12-23 16:58:4
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Beautiful student:first/01', 'Beautiful student:first/02'] checks from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted Beautiful student:first solution from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\first homework
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, timestamp=2024-12-23 16:58:40.
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Smart student:second/01', 'Smart student:second/02'] checks from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted Smart student:second solution from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\second homework
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Smart student:second, TASK_ID=second, USER_ID=Smart student, timestamp=2024-12-23 16:58:40.528780
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Smart student:first/01', 'Smart student:first/02'] checks from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted Smart student:first solution from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\first homework
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Smart student:first, TASK_ID=first, USER_ID=Smart student, timestamp=2024-12-23 16:58:40.511608
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Smart student:first/01', 'Smart student:first/02'] checks from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted Smart student:first solution from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\first homework
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Smart student:first, TASK_ID=first, USER_ID=Smart student, timestamp=2024-12-23 16:58:40.511608
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Smart student:second/01', 'Smart student:second/02'] checks from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted Smart student:second solution from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\student\second homework
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Smart student:second, TASK_ID=second, USER_ID=Smart student, timestamp=2024-12-23 16:58:40.528780
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Beautiful student:first/01', 'Beautiful student:first/02'] checks from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted Beautiful student:first solution from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\first homework
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, timestamp=2024-12-23 16:58:40.
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted ['Beautiful student:second/01', 'Beautiful student:second/02'] checks from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted Beautiful student:second solution from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\studentka\second homework
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, timestamp=2024-12-23 16:58:4
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted ['The teacher:first/01', 'The teacher:first/02', 'The teacher:first/attendance', 'The teacher:first/deadline', 'The teacher:first/no_import', 'The teacher:first/solution_size'] checks from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\first homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted The teacher:first solution from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\first homework
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=The teacher:first, TASK_ID=first, USER_ID=The teacher, timestamp=2024-12-23 16:58:40.621585
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted ['The teacher:second/01', 'The teacher:second/02'] checks from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\second homework
16:58:59 23.12.2024 [                     make]: |  DEBUG|: Extracted The teacher:second solution from f.C:\Users\ASUS\Python_project_S\crosstest\sample\repo\teacher\second homework
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=The teacher:second, TASK_ID=second, USER_ID=The teacher, timestamp=2024-12-23 16:58:40.621585
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored UpdateTime: ID=Check run, timestamp=2024-12-23 16:58:59.953019
16:58:59 23.12.2024 [                     make]: |   INFO|: Run new checks on all solutions...
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Solution
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:58:59 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:58:59 23.12.2024 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Beautiful student_first.py run
16:59:00 23.12.2024 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Beautiful student_first.py / C:\tmp\hworker_check\Beautiful student_first.in
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:first/01@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, cat
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:00 23.12.2024 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Beautiful student_first.py run
16:59:00 23.12.2024 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Beautiful student_first.py / C:\tmp\hworker_check\Beautiful student_first.in
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:first/02@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, cat
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, cat
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Solution
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/attendance@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, c
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/no_import@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, ca
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/solution_size@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:00 23.12.2024 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Beautiful student_second.py run
16:59:00 23.12.2024 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Beautiful student_second.py / C:\tmp\hworker_check\Beautiful student_second.in
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:second/01@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, 
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:00 23.12.2024 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Beautiful student_second.py run
16:59:00 23.12.2024 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Beautiful student_second.py / C:\tmp\hworker_check\Beautiful student_second.in
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:second/02@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, 
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, c
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Solution
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/attendance@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student,
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/no_import@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, 
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/solution_size@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful stude
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:00 23.12.2024 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Smart student_first.py run
16:59:00 23.12.2024 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Smart student_first.py / C:\tmp\hworker_check\Smart student_first.in
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Smart student:first/01@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=CheckC
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:00 23.12.2024 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Smart student_first.py run
16:59:00 23.12.2024 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Smart student_first.py / C:\tmp\hworker_check\Smart student_first.in
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Smart student:first/02@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=CheckC
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=Ch
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Solution
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/attendance@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/no_import@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=C
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/solution_size@Smart student:first, TASK_ID=first, USER_ID=Smart student, catego
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:00 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:00 23.12.2024 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Smart student_second.py run
16:59:01 23.12.2024 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Smart student_second.py / C:\tmp\hworker_check\Smart student_second.in
16:59:01 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Smart student:second/01@Smart student:second, TASK_ID=second, USER_ID=Smart student, category=Che
16:59:01 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:01 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:01 23.12.2024 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Smart student_second.py run
16:59:01 23.12.2024 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Smart student_second.py / C:\tmp\hworker_check\Smart student_second.in
16:59:01 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Smart student:second/02@Smart student:second, TASK_ID=second, USER_ID=Smart student, category=Che
16:59:01 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
16:59:01 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
16:59:01 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Smart student:second, TASK_ID=second, USER_ID=Smart student, category=
